scenario,solver,step,x,y,theta
0,"bi_mppi",0,1.5,0,1.570796327
0,"bi_mppi",1,1.5,0.03074465665,1.621383422
0,"bi_mppi",2,1.496596662,0.097964059,1.536690032
0,"bi_mppi",3,1.49854992,0.1552115814,1.514796049
0,"bi_mppi",4,1.501859497,0.2142490854,1.492299529
0,"bi_mppi",5,1.503428063,0.2341905666,1.436468926
0,"bi_mppi",6,1.506477082,0.256752292,1.543948855
0,"bi_mppi",7,1.508489095,0.3316766488,1.615156919
0,"bi_mppi",8,1.505101826,0.4079841556,1.645102552
0,"bi_mppi",9,1.503023893,0.435897121,1.601047585
0,"bi_mppi",10,1.502279922,0.4604827048,1.634549398
0,"bi_mppi",11,1.498197786,0.5244263441,1.663587182
0,"bi_mppi",12,1.491526773,0.5961128909,1.620748341
0,"bi_mppi",13,1.490326909,0.6201132445,1.655780164
0,"bi_mppi",14,1.483627562,0.6987542066,1.600014565
0,"bi_mppi",15,1.481333388,0.7772504273,1.717160874
0,"bi_mppi",16,1.478148885,0.7988521787,1.696275228
0,"bi_mppi",17,1.475514069,0.8197399387,1.701412084
0,"bi_mppi",18,1.472023499,0.8463117516,1.621009182
0,"bi_mppi",19,1.469238874,0.9017215519,1.606950246
0,"bi_mppi",20,1.467596872,0.9471187446,1.514047721
0,"bi_mppi",21,1.469645373,0.9831778113,1.573956908
0,"bi_mppi",22,1.46957394,1.005778934,1.578279242
0,"bi_mppi",23,1.469440586,1.023599787,1.654555462
0,"bi_mppi",24,1.463826071,1.090474626,1.773635615
0,"bi_mppi",25,1.45548818,1.131015221,1.680901886
0,"bi_mppi",26,1.450804952,1.173377181,1.65771384
0,"bi_mppi",27,1.443476051,1.257484929,1.729891535
0,"bi_mppi",28,1.434900418,1.3109319,1.723522876
0,"bi_mppi",29,1.429459125,1.346282143,1.727717693
0,"bi_mppi",30,1.420254389,1.404458148,1.799364129
0,"bi_mppi",31,1.408448109,1.45520878,1.756382669
0,"bi_mppi",32,1.402028513,1.48940162,1.728511434
0,"bi_mppi",33,1.389852925,1.56596035,1.708950705
0,"bi_mppi",34,1.378424321,1.648156804,1.762136588
0,"bi_mppi",35,1.366891326,1.707694224,1.675659616
0,"bi_mppi",36,1.360139143,1.77184837,1.625855105
0,"bi_mppi",37,1.356382626,1.840006817,1.592223736
0,"bi_mppi",38,1.355043606,1.90248822,1.56437496
0,"bi_mppi",39,1.35552315,1.977166632,1.532914578
0,"bi_mppi",40,1.356718565,2.008708018,1.562463482
0,"bi_mppi",41,1.35711503,2.05628552,1.533065201
0,"bi_mppi",42,1.357871066,2.076313476,1.617292283
0,"bi_mppi",43,1.354971056,2.138639768,1.610703721
0,"bi_mppi",44,1.352134869,2.20967123,1.559478151
0,"bi_mppi",45,1.352948545,2.281559191,1.555935304
0,"bi_mppi",46,1.354026832,2.354111916,1.540260418
0,"bi_mppi",47,1.356243958,2.426696518,1.441982395
0,"bi_mppi",48,1.366145324,2.503136554,1.439556291
0,"bi_mppi",49,1.373563418,2.559334762,1.503038769
0,"bi_mppi",50,1.37539628,2.586343656,1.58498244
0,"bi_mppi",51,1.374456207,2.652606329,1.589453999
0,"bi_mppi",52,1.373119574,2.724237878,1.627250819
0,"bi_mppi",53,1.368671848,2.802938435,1.576778945
0,"bi_mppi",54,1.368522769,2.82785694,1.665153582
0,"bi_mppi",55,1.36394696,2.876207443,1.693503915
0,"bi_mppi",56,1.361574387,2.895445476,1.691190304
0,"bi_mppi",57,1.353274152,2.964054331,1.69330712
0,"bi_mppi",58,1.343794027,3.041048765,1.680708663
0,"bi_mppi",59,1.335764896,3.113804677,1.732074426
0,"bi_mppi",60,1.325335882,3.177907832,1.746429145
