scenario,solver,step,target_waypoint,reached_waypoints,total_waypoints,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,cumulative_elapsed,cumulative_rollout,cumulative_clustering,cumulative_connection,cumulative_guide,x,y,theta
0,"bi_mppi",1,1,1,12,0.051718845,0.004292206,0.045590386,4.4072e-05,0.001792181,0.051718845,0.004292206,0.045590386,4.4072e-05,0.001792181,1.5,0.03074465665,1.621383422
0,"bi_mppi",2,1,1,12,0.028979092,0.004179962,0.023228491,3.9553e-05,0.001531086,0.080697937,0.008472168,0.068818877,8.3625e-05,0.003323267,1.496596662,0.097964059,1.536690032
0,"bi_mppi",3,1,1,12,0.010588358,0.003822136,0.005105578,3.6596e-05,0.001624048,0.091286295,0.012294304,0.073924455,0.000120221,0.004947315,1.49854992,0.1552115814,1.514796049
0,"bi_mppi",4,1,1,12,0.007838256,0.003574151,0.002889169,3.6157e-05,0.001338779,0.099124551,0.015868455,0.076813624,0.000156378,0.006286094,1.501859497,0.2142490854,1.492299529
0,"bi_mppi",5,1,1,12,0.010266346,0.003847213,0.00500388,3.6791e-05,0.001378462,0.109390897,0.019715668,0.081817504,0.000193169,0.007664556,1.503428063,0.2341905666,1.436468926
0,"bi_mppi",6,1,1,12,0.010030375,0.00376689,0.004594924,3.5717e-05,0.001632844,0.119421272,0.023482558,0.086412428,0.000228886,0.0092974,1.506477082,0.256752292,1.543948855
0,"bi_mppi",7,1,1,12,0.008058399,0.003764186,0.002912216,3.6206e-05,0.001345791,0.127479671,0.027246744,0.089324644,0.000265092,0.010643191,1.508489095,0.3316766488,1.615156919
0,"bi_mppi",8,1,1,12,0.009711522,0.003598188,0.004428312,3.752e-05,0.001647502,0.137191193,0.030844932,0.093752956,0.000302612,0.012290693,1.505101826,0.4079841556,1.645102552
0,"bi_mppi",9,1,1,12,0.008604313,0.003980478,0.002950624,3.5547e-05,0.001637664,0.145795506,0.03482541,0.09670358,0.000338159,0.013928357,1.503023893,0.435897121,1.601047585
0,"bi_mppi",10,1,1,12,0.009687337,0.003674534,0.004475597,3.6897e-05,0.001500309,0.155482843,0.038499944,0.101179177,0.000375056,0.015428666,1.502279922,0.4604827048,1.634549398
0,"bi_mppi",11,1,1,12,0.008438186,0.003896233,0.002914838,3.696e-05,0.001590155,0.163921029,0.042396177,0.104094015,0.000412016,0.017018821,1.498197786,0.5244263441,1.663587182
0,"bi_mppi",12,1,1,12,0.014304246,0.003531994,0.009124668,3.662e-05,0.001610964,0.178225275,0.045928171,0.113218683,0.000448636,0.018629785,1.491526773,0.5961128909,1.620748341
0,"bi_mppi",13,1,1,12,0.010839235,0.003618655,0.005325537,3.7801e-05,0.001857242,0.18906451,0.049546826,0.11854422,0.000486437,0.020487027,1.490326909,0.6201132445,1.655780164
0,"bi_mppi",14,1,1,12,0.008047657,0.003554667,0.002941568,3.6336e-05,0.001515086,0.197112167,0.053101493,0.121485788,0.000522773,0.022002113,1.483627562,0.6987542066,1.600014565
