scenario,solver,step,x,y,theta
0,"cluster_mppi",0,1.5,0,1.570796327
0,"cluster_mppi",1,1.5,0.03867265381,1.483176183
0,"cluster_mppi",2,1.5,0.03867265381,1.612315475
0,"cluster_mppi",3,1.497780354,0.09210270012,1.505698988
0,"cluster_mppi",4,1.504285492,0.1918908932,1.48735189
0,"cluster_mppi",5,1.507058644,0.2250472415,1.45729642
0,"cluster_mppi",6,1.518384282,0.3244038228,1.614376055
0,"cluster_mppi",7,1.518384282,0.3244038228,1.533549822
0,"cluster_mppi",8,1.519527256,0.3550763745,1.590123942
0,"cluster_mppi",9,1.517832838,0.4427336533,1.490376602
0,"cluster_mppi",10,1.525630691,0.5394889594,1.647456237
0,"cluster_mppi",11,1.517972206,0.6391952677,1.804535872
0,"cluster_mppi",12,1.517972206,0.6391952677,1.754435533
0,"cluster_mppi",13,1.499711327,0.7375138345,1.820202935
0,"cluster_mppi",14,1.479213859,0.8179876037,1.844912551
0,"cluster_mppi",15,1.467747936,0.8587633418,1.687832916
0,"cluster_mppi",16,1.465578154,0.8772179633,1.711572225
0,"cluster_mppi",17,1.460739569,0.911361449,1.793705625
0,"cluster_mppi",18,1.438632781,1.008887293,1.848800169
0,"cluster_mppi",19,1.411189113,1.105047812,1.776359041
0,"cluster_mppi",20,1.407125013,1.124539153,1.619279406
0,"cluster_mppi",21,1.406782679,1.131594531,1.579483317
0,"cluster_mppi",22,1.406359011,1.180363622,1.578961495
0,"cluster_mppi",23,1.406359011,1.180363622,1.421881901
0,"cluster_mppi",24,1.407229044,1.186162871,1.529163259
0,"cluster_mppi",25,1.408088499,1.206794522,1.474965735
0,"cluster_mppi",26,1.408088499,1.206794522,1.436194515
0,"cluster_mppi",27,1.408088499,1.206794522,1.522091881
0,"cluster_mppi",28,1.408088557,1.206795703,1.403783642
0,"cluster_mppi",29,1.415141726,1.248633652,1.446646096
0,"cluster_mppi",30,1.423214855,1.313326311,1.378463308
0,"cluster_mppi",31,1.423214855,1.313326311,1.322585131
0,"cluster_mppi",32,1.424115476,1.316879933,1.165505496
0,"cluster_mppi",33,1.424115476,1.316879933,1.215867659
0,"cluster_mppi",34,1.458867824,1.410647063,1.308605333
0,"cluster_mppi",35,1.464399123,1.431257862,1.271900837
0,"cluster_mppi",36,1.470413314,1.45077644,1.16323818
0,"cluster_mppi",37,1.497935767,1.514525498,1.245673237
0,"cluster_mppi",38,1.497935767,1.514525498,1.354863473
0,"cluster_mppi",39,1.508557582,1.562948939,1.314452413
0,"cluster_mppi",40,1.508557582,1.562948939,1.418849645
0,"cluster_mppi",41,1.508557582,1.562948939,1.502053293
0,"cluster_mppi",42,1.508557582,1.562948939,1.52413729
0,"cluster_mppi",43,1.508557582,1.562948939,1.367057655
0,"cluster_mppi",44,1.508557582,1.562948939,1.325647414
0,"cluster_mppi",45,1.508557582,1.562948939,1.168567779
0,"cluster_mppi",46,1.508557582,1.562948939,1.099911016
0,"cluster_mppi",47,1.540653885,1.62599658,0.9767045092
0,"cluster_mppi",48,1.540653885,1.62599658,1.133784144
0,"cluster_mppi",49,1.582976581,1.716597027,1.207299067
0,"cluster_mppi",50,1.618531013,1.810062722,1.364378702
0,"cluster_mppi",51,1.639026503,1.907939865,1.400950358
0,"cluster_mppi",52,1.64263505,1.928981169,1.418143774
0,"cluster_mppi",53,1.647318433,1.959422504,1.496462092
0,"cluster_mppi",54,1.653570075,2.043369328,1.562992205
0,"cluster_mppi",55,1.654350479,2.143366284,1.425422002
0,"cluster_mppi",56,1.659798402,2.180577052,1.327899292
0,"cluster_mppi",57,1.659798402,2.180577052,1.484978927
0,"cluster_mppi",58,1.668369612,2.280209048,1.509269534
0,"cluster_mppi",59,1.669714823,2.302045275,1.437139237
0,"cluster_mppi",60,1.680244112,2.380353992,1.578352543
