scenario,solver,step,target_waypoint,reached_waypoints,total_waypoints,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,cumulative_elapsed,cumulative_rollout,cumulative_clustering,cumulative_connection,cumulative_guide,x,y,theta
0,"cluster_mppi",1,1,1,12,0.009490099,0.000747459,0.00874264,0,0,0.009490099,0.000747459,0.00874264,0,0,1.5,0.03867265381,1.483176183
0,"cluster_mppi",2,1,1,12,0.001042678,0.000628558,0.00041412,0,0,0.010532777,0.001376017,0.00915676,0,0,1.5,0.03867265381,1.612315475
0,"cluster_mppi",3,1,1,12,0.001050112,0.000595718,0.000454394,0,0,0.011582889,0.001971735,0.009611154,0,0,1.497780354,0.09210270012,1.505698988
0,"cluster_mppi",4,1,1,12,0.001090647,0.000605796,0.000484851,0,0,0.012673536,0.002577531,0.010096005,0,0,1.504285492,0.1918908932,1.48735189
0,"cluster_mppi",5,1,1,12,0.001029533,0.000573085,0.000456448,0,0,0.013703069,0.003150616,0.010552453,0,0,1.507058644,0.2250472415,1.45729642
0,"cluster_mppi",6,1,1,12,0.001063897,0.00056489,0.000499007,0,0,0.014766966,0.003715506,0.01105146,0,0,1.518384282,0.3244038228,1.614376055
0,"cluster_mppi",7,1,1,12,0.001120022,0.000602079,0.000517943,0,0,0.015886988,0.004317585,0.011569403,0,0,1.518384282,0.3244038228,1.533549822
0,"cluster_mppi",8,1,1,12,0.001873382,0.000574137,0.001299245,0,0,0.01776037,0.004891722,0.012868648,0,0,1.519527256,0.3550763745,1.590123942
0,"cluster_mppi",9,1,1,12,0.001066683,0.000561624,0.000505059,0,0,0.018827053,0.005453346,0.013373707,0,0,1.517832838,0.4427336533,1.490376602
0,"cluster_mppi",10,1,1,12,0.001164244,0.00059752,0.000566724,0,0,0.019991297,0.006050866,0.013940431,0,0,1.525630691,0.5394889594,1.647456237
0,"cluster_mppi",11,1,1,12,0.001122767,0.000602831,0.000519936,0,0,0.021114064,0.006653697,0.014460367,0,0,1.517972206,0.6391952677,1.804535872
0,"cluster_mppi",12,1,1,12,0.001018774,0.000599004,0.00041977,0,0,0.022132838,0.007252701,0.014880137,0,0,1.517972206,0.6391952677,1.754435533
0,"cluster_mppi",13,1,1,12,0.001071221,0.000605295,0.000465926,0,0,0.023204059,0.007857996,0.015346063,0,0,1.499711327,0.7375138345,1.820202935
0,"cluster_mppi",14,1,1,12,0.00120006,0.000597531,0.000602529,0,0,0.024404119,0.008455527,0.015948592,0,0,1.479213859,0.8179876037,1.844912551
0,"cluster_mppi",15,1,1,12,0.002956796,0.0006129,0.002343896,0,0,0.027360915,0.009068427,0.018292488,0,0,1.467747936,0.8587633418,1.687832916
0,"cluster_mppi",16,1,1,12,0.001221701,0.000773358,0.000448343,0,0,0.028582616,0.009841785,0.018740831,0,0,1.465578154,0.8772179633,1.711572225
0,"cluster_mppi",17,1,1,12,0.001031878,0.000563117,0.000468761,0,0,0.029614494,0.010404902,0.019209592,0,0,1.460739569,0.911361449,1.793705625
0,"cluster_mppi",18,1,1,12,0.00139364,0.00055969,0.00083395,0,0,0.031008134,0.010964592,0.020043542,0,0,1.438632781,1.008887293,1.848800169
0,"cluster_mppi",19,1,1,12,0.001043519,0.000606036,0.000437483,0,0,0.032051653,0.011570628,0.020481025,0,0,1.411189113,1.105047812,1.776359041
0,"cluster_mppi",20,1,1,12,0.001043549,0.000560962,0.000482587,0,0,0.033095202,0.01213159,0.020963612,0,0,1.407125013,1.124539153,1.619279406
0,"cluster_mppi",21,1,1,12,0.001124389,0.000559369,0.00056502,0,0,0.034219591,0.012690959,0.021528632,0,0,1.406782679,1.131594531,1.579483317
0,"cluster_mppi",22,1,1,12,0.001042077,0.000606197,0.00043588,0,0,0.035261668,0.013297156,0.021964512,0,0,1.406359011,1.180363622,1.578961495
0,"cluster_mppi",23,1,1,12,0.011886974,0.000563046,0.011323928,0,0,0.047148642,0.013860202,0.03328844,0,0,1.406359011,1.180363622,1.421881901
0,"cluster_mppi",24,1,1,12,0.009080117,0.000664305,0.008415812,0,0,0.056228759,0.014524507,0.041704252,0,0,1.407229044,1.186162871,1.529163259
0,"cluster_mppi",25,1,1,12,0.00114056,0.000639358,0.000501202,0,0,0.057369319,0.015163865,0.042205454,0,0,1.408088499,1.206794522,1.474965735
