scenario,solver,step,x,y,theta
0,"mppi",0,1.5,0,1.570796327
0,"mppi",1,1.5,3.568964682e-17,1.486958592
0,"mppi",2,1.507383569,0.087863319,1.609384012
0,"mppi",3,1.506035162,0.1227899498,1.598001806
0,"mppi",4,1.504948849,0.1627100204,1.62999185
0,"mppi",5,1.504948849,0.1627100204,1.629591378
0,"mppi",6,1.500349825,0.2408411399,1.472511743
0,"mppi",7,1.500433511,0.2416898555,1.34170057
0,"mppi",8,1.501874949,0.2478712507,1.466602485
0,"mppi",9,1.51227549,0.3473289253,1.30952285
0,"mppi",10,1.536838561,0.4391927741,1.371073007
0,"mppi",11,1.556678034,0.5372032312,1.303145579
0,"mppi",12,1.569141284,0.5826512981,1.412748836
0,"mppi",13,1.572133793,0.6014276252,1.543989105
0,"mppi",14,1.573084552,0.6368856345,1.404920565
0,"mppi",15,1.583205588,0.6973407592,1.308169642
0,"mppi",16,1.585600102,0.7062477259,1.24838575
0,"mppi",17,1.602447445,0.7566787764,1.17125511
0,"mppi",18,1.602447445,0.7566787764,1.070889624
0,"mppi",19,1.602447445,0.7566787764,1.128632855
0,"mppi",20,1.610612237,0.7739249537,1.165065208
0,"mppi",21,1.610614374,0.7739299282,1.32212396
0,"mppi",22,1.624619408,0.8290834465,1.479203595
0,"mppi",23,1.624619408,0.8290834465,1.32212396
0,"mppi",24,1.649231146,0.9260074509,1.165044325
0,"mppi",25,1.649231146,0.9260074509,1.32212396
0,"mppi",26,1.668310874,1.001145728,1.382647019
0,"mppi",27,1.668310874,1.001145728,1.530031267
0,"mppi",28,1.671146331,1.070663255,1.556271905
0,"mppi",29,1.671187265,1.073481315,1.693228938
0,"mppi",30,1.662117326,1.147191856,1.686464746
0,"mppi",31,1.650578349,1.246505657,1.738727412
0,"mppi",32,1.64539429,1.277085083,1.757233901
0,"mppi",33,1.626858351,1.375352164,1.914313536
0,"mppi",34,1.623859936,1.383734668,1.97351527
0,"mppi",35,1.623859936,1.383734668,1.986043028
0,"mppi",36,1.583605274,1.475039234,2.142344266
0,"mppi",37,1.5654965,1.503195409,2.111885095
0,"mppi",38,1.565496494,1.503195418,2.021318689
0,"mppi",39,1.565496494,1.503195418,2.066925847
0,"mppi",40,1.565496494,1.503195418,1.988130511
0,"mppi",41,1.565496494,1.503195418,1.909378492
0,"mppi",42,1.538405695,1.580126789,2.004799924
0,"mppi",43,1.506704326,1.648525999,2.097102686
0,"mppi",44,1.456470304,1.734992365,2.029084226
0,"mppi",45,1.456470304,1.734992365,2.03376964
0,"mppi",46,1.456470143,1.734992688,2.094003631
0,"mppi",47,1.431374227,1.778499412,1.936923996
0,"mppi",48,1.416815354,1.816470998,2.063513156
0,"mppi",49,1.416815354,1.816470998,2.013682875
0,"mppi",50,1.39212622,1.868523555,2.134933217
0,"mppi",51,1.361486046,1.916949099,2.15862286
0,"mppi",52,1.353172264,1.92942453,2.012173846
0,"mppi",53,1.353172264,1.92942453,1.855094211
0,"mppi",54,1.335121225,1.991198017,1.901717793
0,"mppi",55,1.302629761,2.085772353,1.76451184
0,"mppi",56,1.302625363,2.085794773,1.607433257
0,"mppi",57,1.300975503,2.13080733,1.49847468
0,"mppi",58,1.308201364,2.230545925,1.431324011
0,"mppi",59,1.308295055,2.23121331,1.42329599
0,"mppi",60,1.310101377,2.243370597,1.420725867
