scenario,solver,step,target_waypoint,reached_waypoints,total_waypoints,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,cumulative_elapsed,cumulative_rollout,cumulative_clustering,cumulative_connection,cumulative_guide,x,y,theta
0,"mppi",1,1,1,12,0.000826056,0.000826056,0,0,0,0.000826056,0.000826056,0,0,0,1.5,3.568964682e-17,1.486958592
0,"mppi",2,1,1,12,0.000632616,0.000632616,0,0,0,0.001458672,0.001458672,0,0,0,1.507383569,0.087863319,1.609384012
0,"mppi",3,1,1,12,0.000582974,0.000582974,0,0,0,0.002041646,0.002041646,0,0,0,1.506035162,0.1227899498,1.598001806
0,"mppi",4,1,1,12,0.000584426,0.000584426,0,0,0,0.002626072,0.002626072,0,0,0,1.504948849,0.1627100204,1.62999185
0,"mppi",5,1,1,12,0.000608341,0.000608341,0,0,0,0.003234413,0.003234413,0,0,0,1.504948849,0.1627100204,1.629591378
0,"mppi",6,1,1,12,0.00073145,0.00073145,0,0,0,0.003965863,0.003965863,0,0,0,1.500349825,0.2408411399,1.472511743
0,"mppi",7,1,1,12,0.000588775,0.000588775,0,0,0,0.004554638,0.004554638,0,0,0,1.500433511,0.2416898555,1.34170057
0,"mppi",8,1,1,12,0.00058678,0.00058678,0,0,0,0.005141418,0.005141418,0,0,0,1.501874949,0.2478712507,1.466602485
0,"mppi",9,1,1,12,0.000759061,0.000759061,0,0,0,0.005900479,0.005900479,0,0,0,1.51227549,0.3473289253,1.30952285
0,"mppi",10,1,1,12,0.000583434,0.000583434,0,0,0,0.006483913,0.006483913,0,0,0,1.536838561,0.4391927741,1.371073007
0,"mppi",11,1,1,12,0.000765392,0.000765392,0,0,0,0.007249305,0.007249305,0,0,0,1.556678034,0.5372032312,1.303145579
0,"mppi",12,1,1,12,0.000651982,0.000651982,0,0,0,0.007901287,0.007901287,0,0,0,1.569141284,0.5826512981,1.412748836
0,"mppi",13,1,1,12,0.000624471,0.000624471,0,0,0,0.008525758,0.008525758,0,0,0,1.572133793,0.6014276252,1.543989105
0,"mppi",14,1,1,12,0.000576582,0.000576582,0,0,0,0.00910234,0.00910234,0,0,0,1.573084552,0.6368856345,1.404920565
0,"mppi",15,1,1,12,0.000579707,0.000579707,0,0,0,0.009682047,0.009682047,0,0,0,1.583205588,0.6973407592,1.308169642
0,"mppi",16,1,1,12,0.000769029,0.000769029,0,0,0,0.010451076,0.010451076,0,0,0,1.585600102,0.7062477259,1.24838575
0,"mppi",17,1,1,12,0.000603021,0.000603021,0,0,0,0.011054097,0.011054097,0,0,0,1.602447445,0.7566787764,1.17125511
0,"mppi",18,1,1,12,0.000582603,0.000582603,0,0,0,0.0116367,0.0116367,0,0,0,1.602447445,0.7566787764,1.070889624
0,"mppi",19,1,1,12,0.000586811,0.000586811,0,0,0,0.012223511,0.012223511,0,0,0,1.602447445,0.7566787764,1.128632855
0,"mppi",20,1,1,12,0.000587301,0.000587301,0,0,0,0.012810812,0.012810812,0,0,0,1.610612237,0.7739249537,1.165065208
0,"mppi",21,1,1,12,0.000792353,0.000792353,0,0,0,0.013603165,0.013603165,0,0,0,1.610614374,0.7739299282,1.32212396
0,"mppi",22,1,1,12,0.000579266,0.000579266,0,0,0,0.014182431,0.014182431,0,0,0,1.624619408,0.8290834465,1.479203595
0,"mppi",23,1,1,12,0.000595286,0.000595286,0,0,0,0.014777717,0.014777717,0,0,0,1.624619408,0.8290834465,1.32212396
0,"mppi",24,1,1,12,0.000821977,0.000821977,0,0,0,0.015599694,0.015599694,0,0,0,1.649231146,0.9260074509,1.165044325
0,"mppi",25,1,1,12,0.00058093,0.00058093,0,0,0,0.016180624,0.016180624,0,0,0,1.649231146,0.9260074509,1.32212396
0,"mppi",26,1,1,12,0.000580319,0.000580319,0,0,0,0.016760943,0.016760943,0,0,0,1.668310874,1.001145728,1.382647019
0,"mppi",27,1,1,12,0.000806078,0.000806078,0,0,0,0.017567021,0.017567021,0,0,0,1.668310874,1.001145728,1.530031267
0,"mppi",28,1,1,12,0.000582903,0.000582903,0,0,0,0.018149924,0.018149924,0,0,0,1.671146331,1.070663255,1.556271905
0,"mppi",29,1,1,12,0.00057563,0.00057563,0,0,0,0.018725554,0.018725554,0,0,0,1.671187265,1.073481315,1.693228938
0,"mppi",30,1,1,12,0.000580189,0.000580189,0,0,0,0.019305743,0.019305743,0,0,0,1.662117326,1.147191856,1.686464746
0,"mppi",31,1,1,12,0.000756546,0.000756546,0,0,0,0.020062289,0.020062289,0,0,0,1.650578349,1.246505657,1.738727412
0,"mppi",32,1,1,12,0.000585889,0.000585889,0,0,0,0.020648178,0.020648178,0,0,0,1.64539429,1.277085083,1.757233901
0,"mppi",33,1,1,12,0.000584967,0.000584967,0,0,0,0.021233145,0.021233145,0,0,0,1.626858351,1.375352164,1.914313536
0,"mppi",34,1,1,12,0.00058093,0.00058093,0,0,0,0.021814075,0.021814075,0,0,0,1.623859936,1.383734668,1.97351527
0,"mppi",35,1,1,12,0.000647564,0.000647564,0,0,0,0.022461639,0.022461639,0,0,0,1.623859936,1.383734668,1.986043028
0,"mppi",36,1,1,12,0.000825174,0.000825174,0,0,0,0.023286813,0.023286813,0,0,0,1.583605274,1.475039234,2.142344266
0,"mppi",37,1,1,12,0.000579597,0.000579597,0,0,0,0.02386641,0.02386641,0,0,0,1.5654965,1.503195409,2.111885095
0,"mppi",38,1,1,12,0.000763169,0.000763169,0,0,0,0.024629579,0.024629579,0,0,0,1.565496494,1.503195418,2.021318689
